Key,Korean,English,Japanese
Item_Name_BananaBunch,바나나 다발,Banana Bunch,バナナの房
Item_Desc_BananaBunch,달콤하고 맛있는 바나나 다발입니다. 기력을 회복시켜줍니다.,A bunch of sweet and delicious bananas. Restores energy.,甘くておいしいバナナの房です。気力を回復させます。
Item_Name_BlueCrystal,푸른 수정,Blue Crystal,青い水晶
Item_Desc_BlueCrystal,신비한 푸른 빛을 내는 수정입니다. 마력의 근원이 됩니다.,A crystal emitting a mysterious blue light. A source of mana.,神秘的な青い光を放つ水晶です。魔力の源となります。
Item_Name_BluePotion,마나 물약,Mana Potion,マナポーション
Item_Desc_BluePotion,잃어버린 마나를 회복시켜주는 푸른 물약입니다.,A blue potion that restores lost mana.,失われたマナを回復させる青いポーションです。
Item_Name_Boots,가죽 부츠,Leather Boots,革のブーツ
Item_Desc_Boots,여행자를 위한 튼튼하고 편안한 가죽 부츠입니다.,Sturdy and comfortable leather boots for travelers.,旅行者のための丈夫で快適な革のブーツです。
Item_Name_BreadLoaf,빵 한 덩이,Loaf of Bread,パン
Item_Desc_BreadLoaf,갓 구워낸 고소한 빵입니다. 허기를 채우기에 좋습니다.,Freshly baked bread. Good for satisfying hunger.,焼きたての香ばしいパンです。空腹を満たすのに最適です。
Item_Name_CheeseWheel,치즈 휠,Cheese Wheel,チーズ
Item_Desc_CheeseWheel,숙성된 거대한 치즈 덩어리입니다. 풍미가 일품입니다.,A massive wheel of aged cheese. Excellent flavor.,熟成された巨大なチーズの塊です。風味が絶品です。
Item_Name_ChocolateBar,초콜릿 바,Chocolate Bar,チョコレート
Item_Desc_ChocolateBar,달콤한 초콜릿입니다. 피로 회복에 도움을 줍니다.,Sweet chocolate. Helps with fatigue recovery.,甘いチョコレートです。疲労回復に役立ちます。
Item_Name_CopperIngot,구리 주괴,Copper Ingot,銅のインゴット
Item_Desc_CopperIngot,제련된 구리 덩어리입니다. 기본적인 제작 재료로 쓰입니다.,Refined copper block. Used as a basic crafting material.,精錬された銅の塊です。基本的な製作材料として使われます。
Item_Name_Dagger,단검,Dagger,短剣
Item_Desc_Dagger,작고 가벼운 단검입니다. 호신용으로 적합합니다.,A small and light dagger. Suitable for self-defense.,小さくて軽い短剣です。護身用に適しています。
Item_Name_Emerald,에메랄드,Emerald,エメラルド
Item_Desc_Emerald,영롱한 초록빛을 띠는 보석입니다.,A gem with a brilliant green hue.,玲瓏な緑色を帯びた宝石です。
Item_Name_FishPlatter,생선 요리,Fish Platter,魚料理
Item_Desc_FishPlatter,신선한 생선을 맛있게 조리한 요리입니다.,A delicious dish made from fresh fish.,新鮮な魚をおいしく調理した料理です。
Item_Name_FriedEgg,계란 프라이,Fried Egg,目玉焼き
Item_Desc_FriedEgg,노른자가 살아있는 반숙 계란 프라이입니다.,A sunny-side-up fried egg.,黄身が生きている半熟の目玉焼きです。
Item_Name_FrostedDonut,설탕 도넛,Frosted Donut,ドーナツ
Item_Desc_FrostedDonut,달콤한 설탕으로 코팅된 도넛입니다.,A donut coated with sweet frosting.,甘い砂糖でコーティングされたドーナツです。
Item_Name_GoldCoin,금화,Gold Coin,金貨
Item_Desc_GoldCoin,왕국에서 통용되는 금화입니다. 반짝거립니다.,A gold coin used in the kingdom. It sparkles.,王国で通用する金貨です。キラキラしています。
Item_Name_GoldNugget,금 덩어리,Gold Nugget,金の塊
Item_Desc_GoldNugget,순도 높은 자연산 금 덩어리입니다.,A high-purity natural gold nugget.,純度の高い自然産の金の塊です。
Item_Name_GreenPear,청배,Green Pear,梨
Item_Desc_GreenPear,시원하고 아삭한 맛이 일품인 배입니다.,A pear with a refreshing and crisp taste.,涼しくてシャキシャキした味が逸品の梨です。
Item_Name_GreenPotion,해독제,Antidote,解毒剤
Item_Desc_GreenPotion,체내의 독소를 제거해주는 초록색 물약입니다.,A green potion that removes toxins from the body.,体内の毒素を除去してくれる緑色のポーションです。
Item_Name_HotSoup,따뜻한 수프,Hot Soup,温かいスープ
Item_Desc_HotSoup,김이 모락모락 나는 야채 수프입니다. 마음까지 따뜻해집니다.,Steaming vegetable soup. Warms the heart.,湯気が立つ野菜スープです。心まで温まります。
Item_Name_IronOre,철광석,Iron Ore,鉄鉱石
Item_Desc_IronOre,철을 추출할 수 있는 원석입니다.,Raw ore from which iron can be extracted.,鉄を抽出できる原石です。
Item_Name_IronShield,철무장 방패,Iron Shield,鉄の盾
Item_Desc_IronShield,단단한 철로 보강된 방패입니다. 웬만한 공격은 막아냅니다.,A shield reinforced with hard iron. Blocks most attacks.,硬い鉄で補強された盾です。大抵の攻撃は防ぎます。
Item_Name_IronSword,철검,Iron Sword,鉄の剣
Item_Desc_IronSword,병사들이 주로 사용하는 표준적인 철검입니다.,A standard iron sword used by soldiers.,兵士たちが主に使う標準的な鉄の剣です。
Item_Name_LeatherHelmet,가죽 투구,Leather Helmet,革の兜
Item_Desc_LeatherHelmet,가공된 가죽으로 만든 투구입니다. 가볍습니다.,A helmet made of processed leather. It is light.,加工された革で作った兜です。軽いです。
Item_Name_LeatherPiece,가죽 조각,Leather Piece,革の欠片
Item_Desc_LeatherPiece,동물의 가죽을 무두질한 조각입니다.,A tanned piece of animal hide.,動物の皮をなめした欠片です。
Item_Name_MagicDust,마법 가루,Magic Dust,魔法の粉
